version,dataset,run,seed,n_samples,n_features,anomaly_rate_pct,threshold,threshold_mode,threshold_arg,branch,trees,runs,seed_base,auc_roc,auc_pr,fit_seconds,predict_seconds,paper_shape_match,source,note
v1,annthyroid,1,42,7200,6,7.42,55,paper,,0,100,15,42,0.5586609222720025,0.10725859287226523,9.023774208966643,111.67283668904565,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,2,43,7200,6,7.42,55,paper,,0,100,15,42,0.5609753391069444,0.10555784275676425,9.047991776838899,111.20435354113579,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,3,44,7200,6,7.42,55,paper,,0,100,15,42,0.5584578120733421,0.11331224832301671,9.07561709312722,106.59507337701507,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,4,45,7200,6,7.42,55,paper,,0,100,15,42,0.6053209253509622,0.134804143903738,9.059456231771037,111.9096493460238,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,5,46,7200,6,7.42,55,paper,,0,100,15,42,0.5794066766227185,0.10454275829837026,9.076342265121639,112.67203396302648,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,6,47,7200,6,7.42,55,paper,,0,100,15,42,0.5719720848489344,0.10670696282764532,9.052120620151982,108.8864436307922,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,7,48,7200,6,7.42,55,paper,,0,100,15,42,0.5802935630641716,0.12184969468508897,9.027413747040555,111.54230350395665,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,8,49,7200,6,7.42,55,paper,,0,100,15,42,0.5270885234590874,0.1079879148237241,8.989007388940081,109.85414829500951,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,9,50,7200,6,7.42,55,paper,,0,100,15,42,0.5484572333637858,0.13659070064737897,8.15812098281458,116.15751304896548,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,10,51,7200,6,7.42,55,paper,,0,100,15,42,0.5733018526571758,0.12228144941454044,7.700806252891198,76.0699348389171,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,11,52,7200,6,7.42,55,paper,,0,100,15,42,0.5506894790602656,0.105416539186208,8.893763842992485,114.20627168612555,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,12,53,7200,6,7.42,55,paper,,0,100,15,42,0.6068585791163386,0.1366057475541001,9.263556258985773,115.31479390198365,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,13,54,7200,6,7.42,55,paper,,0,100,15,42,0.5661554919536897,0.10763497266859773,9.411598328966647,115.67491875495762,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,14,55,7200,6,7.42,55,paper,,0,100,15,42,0.5765894005130849,0.1263187785513386,8.72044434491545,113.61004748684354,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,annthyroid,15,56,7200,6,7.42,55,paper,,0,100,15,42,0.5621189927981562,0.13714238914598628,9.418927269987762,114.33642720291391,True,adbench,"New dataset NOT in the OptIForest paper. Medical (thyroid disease) benchmark from ADBench; low-dimensional regime distinct from arrhythmia. paper_shape_match compares against ADBench's own stats, not the paper."
v1,fraud,1,42,284807,29,0.17,403,paper,,0,100,15,42,0.9536671652262484,0.4291930264396383,121.55154534685425,4238.82469549519,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,2,43,284807,29,0.17,403,paper,,0,100,15,42,0.9515622165041094,0.45287082785400085,143.93179198587313,4118.08681879309,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,3,44,284807,29,0.17,403,paper,,0,100,15,42,0.9463038712786931,0.37911127951458923,155.9348011550028,4124.406819283031,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,4,45,284807,29,0.17,403,paper,,0,100,15,42,0.9468320020062484,0.3543928290153138,156.60936571611091,4219.963252641959,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,5,46,284807,29,0.17,403,paper,,0,100,15,42,0.9432658998256971,0.39643647255144937,154.58601012686267,4111.693891311996,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,6,47,284807,29,0.17,403,paper,,0,100,15,42,0.9490273727368405,0.3135013885318473,156.84865034394898,4144.6665313341655,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,7,48,284807,29,0.17,403,paper,,0,100,15,42,0.9408230865542041,0.3690131504724879,154.59544751606882,4204.485842603957,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,8,49,284807,29,0.17,403,paper,,0,100,15,42,0.9438213712633232,0.4392892644651545,154.24391543515958,4151.9103870131075,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,9,50,284807,29,0.17,403,paper,,0,100,15,42,0.9462712368581224,0.5358137744009057,133.61582399299368,3084.1549806077965,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,10,51,284807,29,0.17,403,paper,,0,100,15,42,0.9502295418642068,0.4713623890238103,137.35407340712845,3616.312894465169,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,11,52,284807,29,0.17,403,paper,,0,100,15,42,0.9536578824671879,0.44516432668425737,148.5565197598189,3585.559121544007,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,12,53,284807,29,0.17,403,paper,,0,100,15,42,0.9473529588803442,0.45946569103979196,149.54886978305876,3662.034057145007,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,13,54,284807,29,0.17,403,paper,,0,100,15,42,0.9414261549189187,0.3402856463264934,143.92816479783505,3632.3365170811303,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,14,55,284807,29,0.17,403,paper,,0,100,15,42,0.9508420037948863,0.46221153641491686,137.9263494340703,3307.599219875876,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
v1,fraud,15,56,284807,29,0.17,403,paper,,0,100,15,42,0.947737165736675,0.41303048261864184,87.40628996305168,2433.6370702509303,True,adbench,"New dataset NOT in the OptIForest paper. Credit-card fraud (finance) benchmark from ADBench; ultra-rare anomaly rate (0.17%) extrapolates beyond the paper's range. Stats are ADBench's own, not the paper."
